sim_id,family,split,W0,Tg,r_g,controller,K_ff,t_d,delta_pk,rate_max,R_star,t_end
sim_B_026_train,B,train,0,0,0,schedule,,,-7.6176,79.0266,,1.8
sim_B_027_train,B,train,0,0,0,schedule,,,5.7807,102.0568,,1.8
sim_B_028_train,B,train,0,0,0,schedule,,,10.0663,55.9726,,1.8
sim_B_029_train,B,train,0,0,0,schedule,,,-7.9858,70.0757,,1.8
sim_B_030_train,B,train,0,0,0,schedule,,,-9.0707,197.9048,,1.8
sim_B_031_val,B,val,0,0,0,schedule,,,5.1189,28.2701,,1.8
sim_B_032_val,B,val,0,0,0,schedule,,,-8.5434,177.4641,,1.8
sim_B_033_val,B,val,0,0,0,schedule,,,7.6452,119.6775,,1.8
sim_B_034_val,B,val,0,0,0,schedule,,,-13.699,58.9012,,1.8
sim_B_035_val,B,val,0,0,0,schedule,,,12.5711,85.992,,1.8
sim_B_036_val,B,val,0,0,0,schedule,,,-2.5173,142.6328,,1.8
sim_B_037_val,B,val,0,0,0,schedule,,,-11.478,90.6161,,1.8
sim_B_038_val,B,val,0,0,0,schedule,,,5.2831,187.701,,1.8
sim_B_039_test,B,test,0,0,0,schedule,,,5.2245,40.1361,,1.8
sim_B_040_test,B,test,0,0,0,schedule,,,9.0301,166.6636,,1.8
sim_B_041_test,B,test,0,0,0,schedule,,,-10.7049,125.0545,,1.8
sim_B_042_test,B,test,0,0,0,schedule,,,8.1254,91.9583,,1.8
sim_B_043_test,B,test,0,0,0,schedule,,,-5.9281,57.9452,,1.8
sim_B_044_test,B,test,0,0,0,schedule,,,12.6385,142.1683,,1.8
sim_B_045_test,B,test,0,0,0,schedule,,,-13.4525,82.4186,,1.8
sim_B_046_test,B,test,0,0,0,schedule,,,-3.1593,199.5376,,1.8
sim_Cc_001_train,Cc,train,10.0,0.3,0.125,mpc,,,,,0.001,1.5
sim_Cc_002_train,Cc,train,10.0,0.35,0.125,mpc,,,,,0.001,1.55
sim_Cc_003_val,Cc,val,10.0,0.4,0.125,mpc,,,,,0.0003,1.6
sim_Cc_004_test,Cc,test,10.0,0.45,0.125,mpc,,,,,0.0003,1.65
sim_Cc_005_train,Cc,train,10.0,0.5,0.125,mpc,,,,,0.0003,1.7
sim_Cc_006_test,Cc,test,10.0,0.55,0.125,mpc,,,,,0.0003,1.75
sim_Cc_007_train,Cc,train,10.0,0.6,0.125,mpc,,,,,0.0003,1.8
sim_Cc_008_train,Cc,train,10.0,0.65,0.125,mpc,,,,,0.0003,1.85
sim_Cc_009_train,Cc,train,10.0,0.7,0.125,mpc,,,,,0.0003,1.9
sim_Cc_010_train,Cc,train,10.0,0.75,0.125,mpc,,,,,0.0003,1.95
sim_Cc_011_train,Cc,train,10.0,0.8,0.125,mpc,,,,,0.0003,2.0
sim_Cc_012_train,Cc,train,10.0,0.85,0.125,mpc,,,,,0.0003,2.05
sim_Cc_013_train,Cc,train,10.0,0.9,0.125,mpc,,,,,0.0003,2.1
sim_Cc_014_train,Cc,train,10.0,0.95,0.125,mpc,,,,,0.0003,2.15
sim_Cc_015_train,Cc,train,10.0,1.0,0.125,mpc,,,,,0.0003,2.2
sim_Cc_016_val,Cc,val,10.0,1.05,0.125,mpc,,,,,0.0003,2.25
sim_Cc_017_train,Cc,train,10.0,1.1,0.125,mpc,,,,,0.001,2.3
sim_Cc_018_train,Cc,train,10.0,1.15,0.125,mpc,,,,,0.001,2.35
sim_Cc_019_train,Cc,train,10.0,1.2,0.125,mpc,,,,,0.001,2.4
sim_Cc_020_train,Cc,train,20.0,0.3,0.25,mpc,,,,,0.0003,1.5
sim_Cc_021_val,Cc,val,20.0,0.35,0.25,mpc,,,,,0.0003,1.55
sim_Cc_022_val,Cc,val,20.0,0.4,0.25,mpc,,,,,0.0001,1.6
sim_Cc_023_train,Cc,train,20.0,0.45,0.25,mpc,,,,,0.0003,1.65
sim_Cc_024_train,Cc,train,20.0,0.5,0.25,mpc,,,,,0.0003,1.7
sim_Cc_025_val,Cc,val,20.0,0.55,0.25,mpc,,,,,0.0003,1.75
sim_Cc_026_train,Cc,train,20.0,0.6,0.25,mpc,,,,,0.0003,1.8
sim_Cc_027_train,Cc,train,20.0,0.65,0.25,mpc,,,,,0.0001,1.85
sim_Cc_028_test,Cc,test,20.0,0.7,0.25,mpc,,,,,0.0001,1.9
sim_Cc_029_train,Cc,train,20.0,0.75,0.25,mpc,,,,,0.0003,1.95
sim_Cc_030_val,Cc,val,20.0,0.8,0.25,mpc,,,,,0.0003,2.0
sim_Cc_031_train,Cc,train,20.0,0.85,0.25,mpc,,,,,0.001,2.05
sim_Cc_032_test,Cc,test,20.0,0.9,0.25,mpc,,,,,0.001,2.1
sim_Cc_033_train,Cc,train,20.0,0.95,0.25,mpc,,,,,0.001,2.15
sim_Cc_034_train,Cc,train,20.0,1.0,0.25,mpc,,,,,0.003,2.2
sim_Cc_035_train,Cc,train,20.0,1.05,0.25,mpc,,,,,0.003,2.25
sim_Cc_036_train,Cc,train,20.0,1.1,0.25,mpc,,,,,0.01,2.3
sim_Cc_037_train,Cc,train,20.0,1.15,0.25,mpc,,,,,0.01,2.35
sim_Cc_038_test,Cc,test,20.0,1.2,0.25,mpc,,,,,0.01,2.4
sim_Cc_039_train,Cc,train,30.0,0.3,0.375,mpc,,,,,0.0001,1.5
sim_Cc_040_train,Cc,train,30.0,0.35,0.375,mpc,,,,,0.0003,1.55
sim_Cc_041_train,Cc,train,30.0,0.4,0.375,mpc,,,,,0.0003,1.6
sim_Cc_042_train,Cc,train,30.0,0.45,0.375,mpc,,,,,0.0003,1.65
sim_Cc_043_train,Cc,train,30.0,0.5,0.375,mpc,,,,,0.0003,1.7
sim_Cc_044_train,Cc,train,30.0,0.55,0.375,mpc,,,,,0.0003,1.75
sim_Cc_045_train,Cc,train,30.0,0.6,0.375,mpc,,,,,0.0003,1.8
sim_Cc_046_train,Cc,train,30.0,0.65,0.375,mpc,,,,,0.0001,1.85
sim_Cc_047_train,Cc,train,30.0,0.7,0.375,mpc,,,,,0.0001,1.9
sim_Cc_048_test,Cc,test,30.0,0.75,0.375,mpc,,,,,0.0003,1.95
sim_Cc_049_val,Cc,val,30.0,0.8,0.375,mpc,,,,,0.0003,2.0
sim_Cc_050_train,Cc,train,30.0,0.85,0.375,mpc,,,,,0.001,2.05
sim_Cc_051_train,Cc,train,30.0,0.9,0.375,mpc,,,,,0.001,2.1
sim_Cc_052_test,Cc,test,30.0,0.95,0.375,mpc,,,,,0.001,2.15
sim_Cc_053_train,Cc,train,30.0,1.0,0.375,mpc,,,,,0.003,2.2
sim_Cc_054_val,Cc,val,30.0,1.05,0.375,mpc,,,,,0.003,2.25
sim_Cc_055_train,Cc,train,30.0,1.1,0.375,mpc,,,,,0.01,2.3
sim_Cc_056_test,Cc,test,30.0,1.15,0.375,mpc,,,,,0.01,2.35
sim_Cc_057_train,Cc,train,30.0,1.2,0.375,mpc,,,,,0.01,2.4
sim_Cc_058_test,Cc,test,10.0,0.3,0.125,prop,,,,,,1.5
sim_Cc_059_train,Cc,train,10.0,0.5,0.125,prop,,,,,,1.7
sim_Cc_060_train,Cc,train,10.0,0.7,0.125,prop,,,,,,1.9
sim_Cc_061_train,Cc,train,10.0,1.0,0.125,prop,,,,,,2.2
sim_Cc_062_train,Cc,train,20.0,0.3,0.25,prop,,,,,,1.5
sim_Cc_063_train,Cc,train,20.0,0.4,0.25,prop,,,,,,1.6
sim_Cc_064_train,Cc,train,20.0,0.5,0.25,prop,,,,,,1.7
sim_Cc_065_train,Cc,train,20.0,1.0,0.25,prop,,,,,,2.2
sim_Cc_066_train,Cc,train,20.0,1.2,0.25,prop,,,,,,2.4
sim_Cc_067_test,Cc,test,30.0,0.4,0.375,prop,,,,,,1.6
sim_Cc_068_val,Cc,val,30.0,0.5,0.375,prop,,,,,,1.7
sim_Cc_069_train,Cc,train,30.0,0.7,0.375,prop,,,,,,1.9
sim_Cc_070_val,Cc,val,30.0,1.2,0.375,prop,,,,,,2.4
